---
IAT at: 23b000, size: 818, thunks: f1, is_terminated: 1, in_main: 0
---
23b000,7ffe4a4a2130,d3dcompiler_47.D3DCompile #3
23b010,7fff2be49500,imm32.ImmReleaseContext #115
23b018,7fff2be41fb0,imm32.ImmSetCandidateWindow #119
23b020,7fff2be442d0,imm32.ImmGetContext #75
23b028,7fff2be41d90,imm32.ImmSetCompositionWindow #124
23b038,7fff2c3bc490,kernel32.ResumeThread #1289
23b040,7fff2c398640,kernel32.GetLastError #655
23b048,7fff2c3a3590,kernel32.GetCurrentThread #583
23b050,7fff2c3bc640,kernel32.GetThreadContext #812
23b058,7fff2c3bb4a0,kernel32.FlushInstructionCache #459
23b060,7fff2c3c5040,kernel32.SetThreadContext #1439
23b068,7fff2c3b8240,kernel32.VirtualQuery #1566
23b070,7fff2c3bc530,kernel32.GetModuleHandleA #676
23b078,7fff2c3c1f00,kernel32.DisableThreadLibraryCalls #324
23b080,7fff2c3b3190,kernel32.CreateThread #273
23b088,7fff2c3d6eb0,kernel32.CloseHandle #159
23b090,7fff2c3b1a30,kernel32.GetSystemTimeAsFileTime #796
23b098,7fff2c3b1a10,kernel32.Sleep #1482
23b0a0,7fff2c398600,kernel32.GetTickCount #830
23b0a8,7fff2c392b00,kernel32.GetTickCount64 #831
23b0b0,7fff2c3a4030,kernel32.QueryPerformanceCounter #1155
23b0b8,7fff2c3b2050,kernel32.MultiByteToWideChar #1061
23b0c0,7fff2c3b50c0,kernel32.GlobalAlloc #870
23b0c8,7fff2c3a3fc0,kernel32.GlobalFree #877
23b0d0,7fff2c3bd030,kernel32.GlobalLock #881
23b0d8,7fff2c3bd980,kernel32.GlobalUnWire #886
23b0e0,7fff2c3b3130,kernel32.WideCharToMultiByte #1614
23b0e8,7fff2c3bd740,kernel32.GetSystemInfo #790
23b0f0,7fff2c3c23f0,kernel32.HeapCreate #896
23b0f8,7fff2c3a4a00,kernel32.HeapFree #898
23b100,7fff2c38e3d0,kernel32.Thread32Next #1515
23b108,7fff2c38dac0,kernel32.Thread32First #1514
23b110,7fff2c3cabf0,kernel32.CreateToolhelp32Snapshot #282
23b118,7fff2d2a0e30,kernel32.HeapReAlloc #901
23b120,7fff2d211260,kernel32.HeapAlloc #894
23b128,7fff2c3b3d00,kernel32.GetProcAddress #735
23b130,7fff2c3a3760,kernel32.GetCurrentProcessId #580
23b138,7fff2c3b79c0,kernel32.OpenThread #1096
23b140,7fff2c3c2510,kernel32.GetLocaleInfoA #657
23b148,7fff2c3c2cd0,kernel32.LoadLibraryA #1014
23b150,7fff2c3b3270,kernel32.QueryPerformanceFrequency #1156
23b158,7fff2c398620,kernel32.GetCurrentThreadId #584
23b160,7fff2d2567b0,kernel32.ReleaseSRWLockExclusive #1260
23b168,7fff2d255ae0,kernel32.AcquireSRWLockExclusive #1
23b170,7fff2d28e480,kernel32.WakeAllConditionVariable #1583
23b178,7fff2a064f90,kernelbase.SleepConditionVariableSRW #1733
23b180,7fff2d2e5eb0,kernel32.InitializeSListHead #924
23b188,7fff2c3d7120,kernel32.CreateDirectoryW #214
23b190,7fff2c3d71e0,kernel32.FindClose #415
23b198,7fff2c3d7260,kernel32.FindFirstFileW #426
23b1a0,7fff2c3d7240,kernel32.FindFirstFileExW #421
23b1a8,7fff2c3d72b0,kernel32.FindNextFileW #438
23b1b0,7fff2c3d7370,kernel32.GetFileAttributesExW #623
23b1b8,7fff2c3d75c0,kernel32.SetFileInformationByHandle #1384
